x,y
1.38548,0.563576,
0.995528,1.8109,
0.884366,1.97737,
0.907258,1.6358,
0.685217,0.186101,
1.02805,0.75065,
0.72158,0.777709,
0.950991,1.37051,
0.275819,0.829248,
1.41896,1.57857,
0.772852,1.32467,
1.33956,1.60224,
1.38041,1.92912,
2.02133,1.76195,
0.284473,0.620379,
0.63223,1.37266,
1.43019,1.72376,
1.13672,1.70176,
1.50804,0.322877,
1.24571,1.11784,
0.981623,0.6738,
0.324744,3.36309,
1.31715,1.7644,
1.57255,0.71629,
3.12046,0.343903,
0.930558,1.43167,
0.246189,0.590308,
0.733464,1.98594,
0.733993,0.824712,
1.87207,2.95093,
0.172664,1.18836,
0.676313,0.666887,
0.655688,0.508559,
0.209485,0.90793,
1.05855,0.342341,
2.38503,0.213195,
1.84013,0.410418,
1.97386,0.752577,
1.54754,0.945142,
1.80544,0.488232,
1.44159,1.38678,
1.10731,0.118786,
0.906258,0.287607,
0.986079,1.01011,
1.35803,1.5118,
2.07164,1.54384,
1.91022,1.68514,
1.83446,0.660752,
1.48665,2.64313,
0.51064,1.13537,
1.08053,0.643795,
0.898014,1.76063,
1.95758,1.75345,
0.913918,0.743482,
0.846455,2.25547,
2.01383,2.19301,
0.88191,0.185357,
0.965788,1.49667,
0.544966,1.46679,
2.18754,1.46251,
0.615235,1.00533,
2.23392,1.62809,
0.170275,2.35741,
0.586329,0.56223,
0.789385,0.466238,
1.97133,0.936583,
0.359471,0.186289,
2.51586,1.27406,
1.31362,0.639445,
1.95426,0.397914,
1.19194,1.51133,
0.493679,0.893715,
1.31623,0.987251,
1.15373,0.187491,
1.03674,1.16254,
2.05286,1.15771,
2.84606,1.62331,
0.823878,1.40687,
0.539572,0.5315,
1.49221,1.41218,
1.1109,0.330636,
0.459387,0.493135,
1.49228,0.46009,
0.94541,2.49095,
0.820524,2.51754,
0.139145,0.759254,
0.578978,0.806267,
1.10867,1.21448,
0.455238,0.835684,
0.102239,1.12007,
0.676267,0.435335,
0.783072,2.28938,
1.5828,1.19903,
0.259166,1.18026,
0.519472,2.76825,
1.51647,2.31413,
1.30801,1.32912,
1.32985,0.802019,
0.463491,0.457228,
0.0761505,0.548777,
2.38325,1.06252,
2.39582,0.348619,
1.2217,0.990969,
1.08773,1.93892,
0.765882,0.971959,
1.25338,0.615943,
1.21706,0.407462,
1.03547,1.08046,
1.47561,0.949107,
2.3931,0.774518,
0.689282,2.54628,
0.920597,1.64108,
0.319318,0.879101,
1.85694,0.795959,
0.280318,0.785324,
1.48791,1.12256,
0.627618,1.11784,
1.66586,0.824347,
0.899523,1.17039,
0.620261,1.09467,
0.243293,0.666811,
1.01073,0.861556,
1.8705,1.86562,
0.436583,1.86525,
1.41804,0.704484,
0.78911,0.428765,
0.369961,2.10588,
0.937495,0.206029,
0.886167,2.11407,
1.65341,0.388781,
2.41469,0.170058,
1.23645,0.996705,
2.08807,1.67408,
1.66208,2.81584,
0.744606,0.724006,
1.55614,0.883761,
1.84843,0.894101,
1.07756,1.78348,
1.95587,1.19447,
0.158937,0.652865,
0.991364,0.180388,
0.577894,1.45941,
0.988741,0.632857,
0.770766,1.45846,
0.949005,1.00428,
0.884285,0.715735,
0.724164,0.62688,
1.84877,1.45958,
1.50821,2.10358,
2.86718,0.824156,
1.05242,0.674608,
1.78178,1.99014,
0.740985,1.57494,
0.753474,0.96495,
1.44969,0.54789,
0.970675,3.04246,
1.93929,0.474488,
1.2744,1.01557,
1.70358,1.88448,
0.8059,1.4943,
0.0510385,2.43974,
1.5625,1.22449,
2.24867,0.660409,
1.31168,1.32422,
1.12308,1.11967,
0.40802,1.57137,
0.517031,2.70272,
0.438154,1.24873,
2.9051,1.42012,
0.874641,0.118738,
2.098,1.95733,
2.54957,1.16885,
0.6603,0.754457,
0.250334,0.46227,
0.50282,1.92349,
1.37511,0.63835,
2.66779,1.28723,
1.89818,0.749088,
0.707502,0.908182,
1.0543,0.578297,
0.513215,1.19079,
1.36366,2.01762,
1.90944,1.44796,
0.319235,2.45686,
1.73913,1.84172,
1.22777,1.63751,
1.19157,0.687199,
0.0793421,3.5985,
0.946702,0.597315,
1.32797,0.119265,
1.41644,1.02923,
1.58873,2.63816,
0.897144,0.993097,
1.11756,2.07903,
2.5191,1.45815,
1.80211,0.571468,
2.53987,1.7652,
1.22058,0.491362,
1.05251,1.72396,
1.15963,2.01221,
1.2524,1.86424,
1.56124,0.506237,
1.87655,0.838562,
1.68745,1.18095,
0.790608,0.626485,
1.03353,0.420293,
2.00848,1.32789,
1.64237,0.976183,
0.841604,1.32037,
0.987602,0.479225,
1.60958,1.45849,
1.45718,0.412815,
1.99292,1.91878,
1.00251,1.50501,
0.831674,1.44582,
1.0847,1.4979,
