x,y
1.14125,2.19856,
1.27436,1.04645,
1.6592,2.07765,
1.17554,1.58099,
2.42601,1.14987,
1.71148,0.217734,
1.12064,1.2775,
1.8401,0.96294,
0.907516,1.00005,
0.869792,2.49168,
1.31545,2.10438,
1.21887,2.34461,
0.747321,0.470494,
0.742431,0.899265,
1.3347,2.11763,
2.08007,1.47704,
1.07261,1.98271,
0.769408,1.13178,
0.673654,1.71628,
1.97762,0.854918,
1.07031,0.663929,
0.846772,0.564677,
2.49892,1.06148,
0.821485,0.276345,
0.544832,0.873222,
1.22028,2.37539,
0.687737,1.74919,
2.41538,0.950459,
0.85963,0.487398,
0.867914,0.726058,
0.266017,1.31794,
1.57889,0.894871,
2.24178,1.0299,
0.502439,1.28905,
0.657269,2.74901,
0.699958,0.15903,
0.394209,0.732992,
1.58916,0.595631,
1.18986,0.821513,
0.851139,0.905809,
0.457577,1.86965,
1.09205,1.62587,
0.732184,2.51385,
1.86536,1.47334,
0.903127,1.43673,
0.555986,1.37389,
0.863972,0.358692,
0.373463,1.12622,
1.72853,1.05107,
0.651941,0.938372,
1.11498,2.55945,
1.90618,2.03374,
2.47488,0.454884,
0.432599,0.794339,
0.911032,0.870084,
1.00228,0.653747,
1.3517,2.64137,
2.02039,0.822306,
1.76846,1.45951,
0.954263,1.30393,
0.288878,1.92197,
0.638266,0.469185,
1.47763,2.20994,
1.13477,1.07086,
1.61649,1.43923,
1.48679,0.412982,
1.51964,1.63315,
0.815626,2.38729,
1.37658,1.30739,
1.5835,0.461182,
1.28552,0.94172,
2.12596,1.3485,
0.772559,1.11939,
0.13591,1.35633,
1.37155,0.817857,
0.731659,1.13632,
0.540752,1.38517,
0.669963,1.25568,
0.561506,0.72995,
1.20652,0.990631,
0.752727,1.25815,
1.36747,1.47287,
0.594289,0.946962,
1.07409,1.83721,
0.371719,0.805931,
0.8161,1.36285,
1.4092,1.33787,
0.281666,0.838864,
1.12501,0.395806,
1.61552,1.77197,
1.89766,0.975405,
1.79146,0.559035,
2.19798,2.51584,
0.415862,0.785103,
1.05815,0.383455,
1.23074,0.476248,
1.44851,1.01774,
2.21035,1.49175,
1.46085,2.56142,
0.150819,0.829986,
0.37284,0.92756,
0.543849,0.895155,
2.02666,2.45782,
0.486006,0.957377,
1.53988,1.32211,
1.4614,0.168919,
1.08153,1.93212,
1.32678,1.91516,
2.91613,1.63411,
0.231428,0.735343,
0.898428,0.216695,
1.76584,2.2581,
1.24666,2.5718,
0.878674,1.57377,
1.71757,1.09972,
2.27416,1.86377,
0.537745,0.385952,
1.54564,0.73194,
0.774223,1.32384,
0.657424,2.58933,
0.0792887,1.09745,
1.52622,0.756011,
1.44597,0.732246,
1.10327,0.90481,
1.84111,1.53013,
2.07626,1.93318,
0.862348,0.732782,
1.15187,1.67541,
1.39748,1.8005,
1.15155,0.961728,
2.0224,0.781098,
0.988565,1.12567,
1.72982,0.736875,
1.58795,0.267249,
0.823262,1.38091,
1.61129,0.682934,
2.65811,2.13573,
1.04991,2.05188,
0.365401,1.79039,
1.90137,1.18002,
1.41524,1.12646,
1.15296,0.928952,
0.750416,0.0460603,
0.504689,0.565134,
1.20944,0.768278,
1.07498,1.48724,
2.45619,0.174547,
1.25175,2.03714,
0.758413,1.96074,
1.77927,1.02561,
1.19798,1.46431,
0.651472,1.34849,
0.530594,1.73092,
1.37175,0.758116,
0.405612,0.718224,
1.36535,0.534439,
1.13183,1.00376,
2.88659,2.27921,
2.16528,0.57402,
1.35134,1.35753,
1.54709,0.6504,
1.12459,1.70212,
1.21403,1.03927,
2.73951,0.340381,
1.26883,2.07153,
1.62886,1.47464,
1.62844,1.16002,
1.25545,1.28238,
0.545217,0.167601,
2.50652,1.97087,
0.32339,2.86309,
1.25764,1.80139,
1.70884,2.46649,
0.47015,1.83063,
0.535279,1.05192,
1.4809,0.573505,
0.105126,1.00496,
0.239228,1.0444,
0.566423,1.25985,
1.71787,1.02642,
2.38736,1.37514,
1.00113,1.58103,
0.629658,1.96491,
0.502037,2.38866,
1.11109,1.74987,
0.117543,1.37271,
0.850446,0.987943,
0.943257,1.44158,
1.76962,0.947732,
1.8746,2.13641,
0.893152,1.21713,
1.54356,1.36211,
1.24905,1.50457,
1.35545,1.2271,
2.03704,1.37065,
1.05011,1.53735,
1.29498,1.14646,
1.92629,2.61439,
0.857446,1.01155,
2.86297,0.827254,
1.1467,0.330276,
1.08465,0.744651,
1.58453,0.527926,
1.19892,1.43737,
1.37971,0.747116,
3.4268,1.00303,
1.48577,0.656411,
1.76734,1.83482,
0.274049,1.25855,
1.23856,1.07087,
0.507397,1.18393,
1.30646,1.3585,
0.440387,1.25402,
1.05099,0.165261,
0.473817,1.50004,
1.85286,0.590924,
0.461417,1.98025,
0.572167,0.551485,
3.09952,1.84835,
0.518364,1.05082,
1.68095,0.0975684,
1.39779,0.875703,
0.994937,1.65876,
1.19669,1.12167,
1.59051,1.12951,
2.92145,1.67854,
2.95855,0.738711,
0.159509,1.16149,
0.622855,0.870571,
0.791545,1.79727,
2.43184,1.00037,
1.03575,0.634346,
2.02293,2.08346,
0.769525,1.13214,
0.990212,1.27186,
2.41466,1.00079,
1.97039,1.63247,
2.25784,0.351512,
2.65434,0.615074,
1.78126,0.841588,
0.769338,1.19499,
0.930055,2.1409,
0.566187,0.31933,
0.998863,1.70523,
1.00006,0.467634,
0.496465,1.3037,
2.0711,0.633637,
2.12938,1.26319,
2.30132,2.15714,
1.27705,1.84378,
1.27316,1.28953,
1.63836,2.0388,
1.20745,1.30381,
0.728599,1.20532,
0.494556,1.81861,
0.779657,1.05277,
1.15505,1.87397,
1.38388,1.7543,
0.598009,1.76661,
1.94412,0.19551,
1.05274,1.45818,
1.07756,1.46743,
0.910634,0.520724,
2.42391,1.47565,
1.2565,0.827467,
1.45001,1.21665,
1.68557,2.05974,
0.243754,0.96552,
1.44832,1.12134,
2.0334,0.317289,
1.31772,1.72449,
1.41407,0.785701,
1.8516,1.35681,
0.184476,1.47057,
0.703302,1.06539,
1.34306,1.70185,
1.3342,1.10565,
1.73433,0.661862,
0.953071,1.4097,
0.50858,1.11702,
0.923646,0.263918,
1.12298,1.44265,
0.94278,0.729614,
0.319264,0.746907,
1.94157,1.44353,
0.674334,1.47744,
0.642578,0.60913,
1.30297,1.62846,
1.20846,2.45358,
1.44044,1.1798,
0.513482,0.934055,
1.24642,0.666981,
1.12271,0.256439,
1.12646,1.65256,
1.20638,1.36674,
1.82352,0.628653,
2.88545,1.086,
1.64378,0.550808,
0.996237,0.183527,
2.16646,1.85307,
0.433973,1.40254,
0.463495,1.02066,
1.02322,0.881015,
1.33598,0.981385,
1.2292,0.854757,
0.552641,1.32292,
0.899577,2.79904,
0.772702,0.382499,
0.515037,1.28119,
1.06559,0.865411,
0.723981,2.26165,
0.404098,0.260028,
2.82405,0.0761993,
1.55653,0.421138,
1.72443,0.742157,
1.3589,0.687401,
1.43717,1.44478,
1.79959,1.73338,
1.21888,0.356015,
2.43668,0.030004,
1.82892,0.0629416,
1.10836,0.618187,
0.0813325,1.65861,
1.12921,1.32829,
0.536795,1.94905,
1.50753,1.43908,
2.94168,1.98855,
1.61698,2.02068,
0.662072,0.577625,
1.75261,0.947772,
0.8641,1.75631,
0.240818,0.395088,
1.50915,1.77097,
0.714789,0.720705,
